,ages_ranges,audience,behavior,citizenship,genders,relationship_statuses,scholarities,timestamp,publisher_platforms,topic,location
8735,45+,0,ALL,Nepal,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8736,18-24,340,ALL,Nepal,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8737,25-44,1200,ALL,Nepal,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8738,45+,140,ALL,Nepal,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8739,18-24,60,ALL,Nepal,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8740,25-44,210,ALL,Nepal,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8741,45+,0,ALL,Nepal,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8742,18-24,80,ALL,Nepal,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8743,25-44,540,ALL,Nepal,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8744,45+,30,ALL,Nepal,1.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8745,18-24,0,ALL,Nepal,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8746,25-44,40,ALL,Nepal,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8747,45+,0,ALL,Nepal,2.0,NOTSELECTED,High School,1491204252,['facebook'],physical activity,BH
8748,18-24,430,ALL,Philippines,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8749,25-44,4000,ALL,Philippines,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8750,45+,870,ALL,Philippines,1.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8751,18-24,590,ALL,Philippines,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8752,25-44,9000,ALL,Philippines,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8753,45+,2200,ALL,Philippines,2.0,NOTSELECTED,Graduated,1491204252,['facebook'],physical activity,BH
8754,18-24,230,ALL,Philippines,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8755,25-44,1200,ALL,Philippines,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8756,45+,390,ALL,Philippines,1.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8757,18-24,300,ALL,Philippines,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8758,25-44,3100,ALL,Philippines,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
8759,45+,1200,ALL,Philippines,2.0,NOTSELECTED,No Degree,1491204252,['facebook'],physical activity,BH
