,ages_ranges,genders,behavior,scholarities,audience,topic,location
2246,45+,1.0,Expats,High School,330,Peace,Hawaii
2247,18-24,2.0,Expats,High School,320,Peace,Hawaii
2248,25-44,2.0,Expats,High School,510,Peace,Hawaii
2249,45+,2.0,Expats,High School,600,Peace,Hawaii
2250,18-24,1.0,Locals,Graduated,310,Peace,Hawaii
2251,25-44,1.0,Locals,Graduated,2000,Peace,Hawaii
2252,45+,1.0,Locals,Graduated,2400,Peace,Hawaii
2253,18-24,2.0,Locals,Graduated,610,Peace,Hawaii
2254,25-44,2.0,Locals,Graduated,4300,Peace,Hawaii
2255,45+,2.0,Locals,Graduated,5100,Peace,Hawaii
2256,18-24,1.0,Locals,No Degree,100,Peace,Hawaii
2257,25-44,1.0,Locals,No Degree,450,Peace,Hawaii
2258,45+,1.0,Locals,No Degree,800,Peace,Hawaii
2259,18-24,2.0,Locals,No Degree,260,Peace,Hawaii
2260,25-44,2.0,Locals,No Degree,1100,Peace,Hawaii
2261,45+,2.0,Locals,No Degree,2100,Peace,Hawaii
2262,18-24,1.0,Locals,High School,560,Peace,Hawaii
2263,25-44,1.0,Locals,High School,1100,Peace,Hawaii
2264,45+,1.0,Locals,High School,1100,Peace,Hawaii
2265,18-24,2.0,Locals,High School,920,Peace,Hawaii
2266,25-44,2.0,Locals,High School,2400,Peace,Hawaii
2267,45+,2.0,Locals,High School,2900,Peace,Hawaii
2268,18-24,1.0,Expats,Graduated,80,Peace,Idaho
2269,25-44,1.0,Expats,Graduated,190,Peace,Idaho
2270,45+,1.0,Expats,Graduated,80,Peace,Idaho
2271,18-24,2.0,Expats,Graduated,90,Peace,Idaho
2272,25-44,2.0,Expats,Graduated,450,Peace,Idaho
2273,45+,2.0,Expats,Graduated,280,Peace,Idaho
2274,18-24,1.0,Expats,No Degree,20,Peace,Idaho
2275,25-44,1.0,Expats,No Degree,130,Peace,Idaho
2276,45+,1.0,Expats,No Degree,40,Peace,Idaho
2277,18-24,2.0,Expats,No Degree,40,Peace,Idaho
2278,25-44,2.0,Expats,No Degree,220,Peace,Idaho
2279,45+,2.0,Expats,No Degree,170,Peace,Idaho
2280,18-24,1.0,Expats,High School,50,Peace,Idaho
2281,25-44,1.0,Expats,High School,90,Peace,Idaho
2282,45+,1.0,Expats,High School,20,Peace,Idaho
2283,18-24,2.0,Expats,High School,110,Peace,Idaho
2284,25-44,2.0,Expats,High School,130,Peace,Idaho
2285,45+,2.0,Expats,High School,170,Peace,Idaho
2286,18-24,1.0,Locals,Graduated,280,Peace,Idaho
2287,25-44,1.0,Locals,Graduated,1400,Peace,Idaho
