,topic,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
238,fitness and wellness,YE,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,9200,45+
239,fitness and wellness,PS,Locals,Male,False,NOTSELECTED,NOTSELECTED,45,GRAD,9700,45+
240,fitness and wellness,DZ,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,59000,45+
241,fitness and wellness,EG,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,390000,45+
242,fitness and wellness,IQ,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,80000,45+
243,fitness and wellness,JO,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,62000,45+
244,fitness and wellness,KW,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,3700,45+
245,fitness and wellness,LB,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,85000,45+
246,fitness and wellness,LY,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,29000,45+
247,fitness and wellness,MA,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,73000,45+
248,fitness and wellness,OM,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,670,45+
249,fitness and wellness,QA,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,1800,45+
250,fitness and wellness,SA,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,53000,45+
251,fitness and wellness,SO,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,1200,45+
252,fitness and wellness,TN,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,60000,45+
253,fitness and wellness,AE,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,5300,45+
254,fitness and wellness,YE,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,1900,45+
255,fitness and wellness,PS,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,ND,12000,45+
256,fitness and wellness,DZ,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,15000,45+
257,fitness and wellness,EG,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,54000,45+
258,fitness and wellness,IQ,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,13000,45+
259,fitness and wellness,JO,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,11000,45+
260,fitness and wellness,KW,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,700,45+
261,fitness and wellness,LB,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,12000,45+
262,fitness and wellness,LY,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,4700,45+
263,fitness and wellness,MA,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,18000,45+
264,fitness and wellness,OM,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,150,45+
265,fitness and wellness,QA,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,450,45+
266,fitness and wellness,SA,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,7600,45+
267,fitness and wellness,SO,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,310,45+
268,fitness and wellness,TN,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,24000,45+
269,fitness and wellness,AE,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,1600,45+
270,fitness and wellness,YE,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,410,45+
271,fitness and wellness,PS,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,HS,2800,45+
272,fitness and wellness,DZ,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,35000,45+
273,fitness and wellness,EG,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,230000,45+
274,fitness and wellness,IQ,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,39000,45+
275,fitness and wellness,JO,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,28000,45+
276,fitness and wellness,KW,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,2300,45+
277,fitness and wellness,LB,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,33000,45+
278,fitness and wellness,LY,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,14000,45+
279,fitness and wellness,MA,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,44000,45+
280,fitness and wellness,OM,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,530,45+
281,fitness and wellness,QA,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,1100,45+
282,fitness and wellness,SA,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,21000,45+
283,fitness and wellness,SO,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,930,45+
284,fitness and wellness,TN,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,45000,45+
285,fitness and wellness,AE,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,4400,45+
286,fitness and wellness,YE,Locals,Female,False,NOTSELECTED,NOTSELECTED,45,GRAD,1300,45+
